logNN.thrstint1_x,logNN.thrstint1_y,logNN.thrstint2_x,logNN.thrstint2_y,logNN.thrstint3_x,logNN.thrstint3_y,logNN.thrstint4_x,logNN.thrstint4_y
97558.,1345.,97558.,5927.,97558.,3808.,97558.,4223.
97658.,606.,97658.,0.,97658.,202.,97658.,0.
97758.,0.,97758.,337.,97758.,0.,97758.,0.
97858.,4529.,97858.,3715.,97858.,3565.,97858.,0.
97958.,9040.,97958.,5742.,97958.,7379.,97958.,9188.
98058.,5944.,98058.,8503.,98058.,13646.,98058.,9099.
98158.,5711.,98158.,7240.,98158.,9720.,98158.,9593.
98258.,4763.,98258.,6441.,98258.,7721.,98258.,6098.
98358.,7140.,98358.,3940.,98358.,5702.,98358.,3499.
98458.,4416.,98458.,1210.,98458.,0.,98458.,3426.
98558.,895.,98558.,0.,98558.,34841.,98558.,0.
98658.,13653.,98658.,10155.,98658.,11605.,98658.,7234.
98758.,3747.,98758.,17347.,98758.,4144.,98758.,16169.
98858.,13476.,98858.,19836.,98858.,20236.,98858.,19973.
98958.,26460.,98958.,19079.,98958.,23597.,98958.,19770.
99058.,20725.,99058.,16852.,99058.,18616.,99058.,18062.
99158.,10879.,99158.,13520.,99158.,7036.,99158.,11593.
99258.,7639.,99258.,7113.,99258.,3115.,99258.,5862.
99358.,7315.,99358.,5759.,99358.,3692.,99358.,3509.
99458.,1545.,99458.,249.,99458.,0.,99458.,0.
99558.,0.,99558.,1106.,99558.,0.,99558.,3571.
99658.,5303.,99658.,367.,99658.,1720.,99658.,94.
99758.,4322.,99758.,2171.,99758.,2933.,99758.,7460.
99858.,1708.,99858.,2438.,99858.,867.,99858.,4322.
99958.,2381.,99958.,0.,99958.,0.,99958.,141.
100058.,703.,100058.,0.,100058.,6261.,100058.,0.
100158.,4606.,100158.,3322.,100158.,3034.,100158.,3531.
100258.,6891.,100258.,6314.,100258.,3146.,100258.,7414.
100358.,10888.,100358.,6718.,100358.,6239.,100358.,4546.
100458.,7876.,100458.,7723.,100458.,6665.,100458.,7833.
100558.,6491.,100558.,4344.,100558.,3076.,100558.,6799.
100658.,6905.,100658.,3902.,100658.,4400.,100658.,7831.
100758.,2007.,100758.,1720.,100758.,1146.,100758.,2053.
100858.,14847.,100858.,0.,100858.,11778.,100858.,17711.
100958.,11724.,100958.,14923.,100958.,12660.,100958.,9973.
101058.,592.,101058.,16268.,101058.,4062.,101058.,13630.
101158.,16509.,101158.,19064.,101158.,18112.,101158.,14280.
101258.,23077.,101258.,17385.,101258.,17084.,101258.,16713.
101358.,20128.,101358.,18134.,101358.,18627.,101358.,16777.
101458.,8676.,101458.,11512.,101458.,11781.,101458.,12597.
101558.,6629.,101558.,7865.,101558.,6743.,101558.,2478.
101658.,4430.,101658.,4423.,101658.,1319.,101658.,6312.
101758.,0.,101758.,0.,101758.,631.,101758.,0.
101858.,2314.,101858.,1064.,101858.,916.,101858.,2861.
101958.,3743.,101958.,280.,101958.,0.,101958.,69.
102058.,2515.,102058.,3041.,102058.,5051.,102058.,6648.
102158.,0.,102158.,3127.,102158.,4884.,102158.,300.
102258.,0.,102258.,863.,102258.,0.,102258.,320.
102358.,2717.,102358.,288.,102358.,3892.,102358.,227.
102458.,7333.,102458.,4733.,102458.,5027.,102458.,11189.
102558.,4539.,102558.,7715.,102558.,5065.,102558.,6750.
102658.,4323.,102658.,9207.,102658.,7120.,102658.,7666.
102758.,7226.,102758.,7719.,102758.,3890.,102758.,6597.
102858.,6051.,102858.,6712.,102858.,3116.,102858.,3294.
102958.,3089.,102958.,3486.,102958.,2821.,102958.,2976.
103058.,1238.,103058.,5591.,103058.,2409.,103058.,2344.
103158.,11142.,103158.,4088.,103158.,5243.,103158.,6311.
103258.,6807.,103258.,15207.,103258.,8920.,103258.,15551.
103358.,1140.,103358.,17094.,103358.,3164.,103358.,10853.
103458.,26285.,103458.,21431.,103458.,26658.,103458.,27712.
103558.,21238.,103558.,16333.,103558.,16565.,103558.,20086.
103658.,15307.,103658.,12943.,103658.,12465.,103658.,19913.
103758.,7566.,103758.,9068.,103758.,4363.,103758.,10177.
103858.,3689.,103858.,4685.,103858.,4699.,103858.,234.
103958.,4071.,103958.,521.,103958.,5475.,103958.,1167.
104058.,0.,104058.,0.,104058.,0.,104058.,0.
104158.,5804.,104158.,2568.,104158.,361.,104158.,4442.
104258.,3460.,104258.,258.,104258.,3103.,104258.,0.
104358.,3367.,104358.,4732.,104358.,5915.,104358.,4980.
104458.,1052.,104458.,0.,104458.,0.,104458.,2765.
104558.,0.,104558.,0.,104558.,0.,104558.,0.
