logNN.thrstint1_x,logNN.thrstint1_y,logNN.thrstint2_x,logNN.thrstint2_y,logNN.thrstint3_x,logNN.thrstint3_y,logNN.thrstint4_x,logNN.thrstint4_y
64560.,895.,64560.,0.,64560.,34841.,64560.,0.
64660.,12238.,64660.,3928.,64660.,7017.,64660.,8055.
64760.,3663.,64760.,16657.,64760.,2837.,64760.,16230.
64859.,12053.,64859.,18001.,64859.,17696.,64859.,24241.
64959.,26460.,64959.,19079.,64959.,23597.,64959.,19770.
65059.,20725.,65059.,16852.,65059.,18616.,65059.,18062.
65159.,10879.,65159.,13520.,65159.,7036.,65159.,11593.
65259.,7639.,65259.,7113.,65259.,3115.,65259.,5862.
65359.,7315.,65359.,5759.,65359.,3692.,65359.,3509.
65460.,1545.,65460.,249.,65460.,0.,65460.,0.
65560.,0.,65560.,1106.,65560.,0.,65560.,3571.
65660.,5303.,65660.,367.,65660.,1720.,65660.,94.
65758.,4322.,65758.,2171.,65758.,2933.,65758.,7460.
65858.,1708.,65858.,2438.,65858.,867.,65858.,4322.
65958.,2381.,65958.,0.,65958.,0.,65958.,141.
66058.,703.,66058.,0.,66058.,6261.,66058.,0.
66158.,2363.,66158.,4530.,66158.,6106.,66158.,6269.
66258.,7802.,66258.,6807.,66258.,4186.,66258.,7369.
66358.,5470.,66358.,8980.,66358.,11873.,66358.,5601.
66458.,7688.,66458.,8701.,66458.,7852.,66458.,3695.
66558.,4418.,66558.,6242.,66558.,6790.,66558.,3788.
66658.,3847.,66658.,4021.,66658.,5501.,66658.,5574.
66758.,0.,66758.,3322.,66758.,3866.,66758.,4655.
66858.,13471.,66858.,5329.,66858.,2176.,66858.,0.
66958.,9416.,66958.,11620.,66958.,12292.,66958.,16806.
67058.,46.,67058.,16019.,67058.,2580.,67058.,13088.
67158.,19326.,67158.,19716.,67158.,19926.,67158.,17840.
67258.,22415.,67258.,17021.,67258.,17851.,67258.,18626.
67358.,16746.,67358.,18672.,67358.,15309.,67358.,11604.
67458.,4998.,67458.,9446.,67458.,6938.,67458.,6693.
67558.,5932.,67558.,6030.,67558.,4538.,67558.,905.
67658.,5163.,67658.,1510.,67658.,5159.,67658.,1641.
67758.,0.,67758.,0.,67758.,0.,67758.,0.
67858.,3460.,67858.,1735.,67858.,1064.,67858.,5844.
67958.,19.,67958.,2579.,67958.,379.,67958.,0.
68058.,3367.,68058.,4732.,68058.,5915.,68058.,4980.
68158.,1052.,68158.,0.,68158.,0.,68158.,2765.
68258.,0.,68258.,0.,68258.,0.,68258.,0.
68358.,0.,68358.,1998.,68358.,4973.,68358.,4393.
68458.,8531.,68458.,6450.,68458.,9820.,68458.,6688.
68558.,7171.,68558.,7319.,68558.,3412.,68558.,6131.
68658.,9359.,68658.,7011.,68658.,4341.,68658.,4829.
68758.,5765.,68758.,6843.,68758.,4762.,68758.,5165.
68858.,5564.,68858.,6184.,68858.,4903.,68858.,3804.
68958.,2292.,68958.,4167.,68958.,5155.,68958.,1297.
69058.,2244.,69058.,5840.,69058.,1387.,69058.,2806.
69158.,10245.,69158.,0.,69158.,15880.,69158.,2751.
69258.,6207.,69258.,16853.,69258.,3574.,69258.,16653.
69358.,5173.,69358.,17454.,69358.,11235.,69358.,20243.
69458.,27004.,69458.,21479.,69458.,25344.,69458.,23365.
69558.,20873.,69558.,17297.,69558.,15579.,69558.,14468.
69658.,13820.,69658.,13788.,69658.,13930.,69658.,14498.
69758.,8484.,69758.,4851.,69758.,6780.,69758.,7732.
69858.,5749.,69858.,5252.,69858.,3842.,69858.,6098.
69958.,4308.,69958.,0.,69958.,579.,69958.,0.
70058.,0.,70058.,0.,70058.,1140.,70058.,1171.
70158.,4240.,70158.,2509.,70158.,0.,70158.,3770.
70258.,3007.,70258.,3189.,70258.,5058.,70258.,5641.
70358.,1561.,70358.,4204.,70358.,5622.,70358.,5832.
70458.,1687.,70458.,661.,70458.,7335.,70458.,4813.
70558.,1233.,70558.,0.,70558.,0.,70558.,0.
70658.,2147.,70658.,4371.,70658.,4302.,70658.,975.
70758.,5282.,70758.,7219.,70758.,7321.,70758.,7640.
70858.,9911.,70858.,8737.,70858.,3141.,70858.,4336.
70958.,10132.,70958.,6585.,70958.,5058.,70958.,7122.
71058.,6491.,71058.,4344.,71058.,3076.,71058.,6799.
71158.,6905.,71158.,3902.,71158.,4400.,71158.,7831.
71258.,2803.,71258.,1187.,71258.,0.,71258.,2926.
71358.,5382.,71358.,0.,71358.,19244.,71358.,0.
71458.,14231.,71458.,13018.,71458.,8045.,71458.,6904.
71558.,0.,71558.,16598.,71558.,1997.,71558.,13360.
71658.,14902.,71658.,18435.,71658.,18762.,71658.,14567.
71758.,23490.,71758.,19155.,71758.,22133.,71758.,16551.
71858.,20128.,71858.,18134.,71858.,18627.,71858.,16777.
71958.,8676.,71958.,11512.,71958.,11781.,71958.,12597.
72058.,6629.,72058.,7865.,72058.,6743.,72058.,2478.
72158.,4430.,72158.,4423.,72158.,1319.,72158.,6312.
72258.,0.,72258.,0.,72258.,631.,72258.,0.
72358.,2314.,72358.,1064.,72358.,916.,72358.,2861.
72458.,3743.,72458.,280.,72458.,0.,72458.,69.
72558.,2515.,72558.,3041.,72558.,5051.,72558.,6648.
72658.,0.,72658.,3127.,72658.,4884.,72658.,300.
72758.,0.,72758.,2683.,72758.,3351.,72758.,0.
72858.,2909.,72858.,304.,72858.,3918.,72858.,2378.
72958.,3177.,72958.,5104.,72958.,10967.,72958.,8674.
73058.,4539.,73058.,7715.,73058.,5065.,73058.,6750.
73158.,4323.,73158.,9207.,73158.,7120.,73158.,7666.
73258.,7226.,73258.,7719.,73258.,3890.,73258.,6597.
73358.,6051.,73358.,6712.,73358.,3116.,73358.,3294.
73458.,3089.,73458.,3486.,73458.,2821.,73458.,2976.
73558.,1238.,73558.,5591.,73558.,2409.,73558.,2344.
73658.,11142.,73658.,4088.,73658.,5243.,73658.,6311.
73758.,6807.,73758.,15207.,73758.,8920.,73758.,15551.
73858.,2043.,73858.,17326.,73858.,1497.,73858.,9273.
73958.,22526.,73958.,19961.,73958.,24761.,73958.,25020.
74058.,23143.,74058.,16078.,74058.,15349.,74058.,18597.
74158.,13592.,74158.,17541.,74158.,12520.,74158.,14258.
74258.,7566.,74258.,9068.,74258.,4363.,74258.,10177.
74358.,3689.,74358.,4685.,74358.,4699.,74358.,234.
74458.,4071.,74458.,521.,74458.,5475.,74458.,1167.
74558.,0.,74558.,0.,74558.,0.,74558.,0.
74658.,5804.,74658.,2568.,74658.,361.,74658.,4442.
74758.,3460.,74758.,258.,74758.,3103.,74758.,0.
74858.,2816.,74858.,4073.,74858.,3450.,74858.,4274.
74958.,1052.,74958.,0.,74958.,0.,74958.,2765.
75058.,0.,75058.,0.,75058.,0.,75058.,0.
75158.,0.,75158.,1998.,75158.,4973.,75158.,4393.
75258.,8531.,75258.,6450.,75258.,9820.,75258.,6688.
75358.,7171.,75358.,7319.,75358.,3412.,75358.,6131.
75458.,9359.,75458.,7011.,75458.,4341.,75458.,4829.
75558.,5765.,75558.,6843.,75558.,4762.,75558.,5165.
75658.,2837.,75658.,6881.,75658.,7270.,75658.,4676.
75758.,0.,75758.,3337.,75758.,2674.,75758.,0.
